UserID,Age,TasteDNA_Fruity,TasteDNA_Dessert,TasteDNA_Menthol,NicotineStrength
1,26,0.19635724892682205,0.29778076459997993,0.046365127255179606,14.0
2,18,0.9608580768940062,0.32395402050406175,0.9857560247615873,3.5
3,23,0.20382480954206605,0.4230593970553833,0.4726712517255708,1.1
4,18,0.600023955279005,0.15814604446635683,0.8704342491263828,2.2
5,44,0.7129750244066659,0.48672025434450616,0.619963565433827,29.8
6,51,0.8177463040994153,0.9768678817135678,0.23224093209708185,48.9
7,47,0.29840727752648144,0.04014601986950728,0.42376149329109547,23.8
8,58,0.5608594149266697,0.05522253064222915,0.8649385353125172,2.7
9,58,0.7889412946710597,0.9027024840669765,0.17977759426303375,46.8
10,49,0.045682604740693855,0.9676588106363413,0.16625419754121962,24.8
11,40,0.7484350620028128,0.6560578666075368,0.15277580314287487,39.5
12,58,0.012282091514171367,0.13430973033498128,0.46699962914125315,3.6
13,32,0.8494765282536999,0.3100925786551637,0.0958156086540769,30.0
14,24,0.05220262583759716,0.8604987979668018,0.407197585230767,42.4
15,31,0.8991530519128901,0.9027961851538814,0.44195363664284015,0.2
16,27,0.3365205054976016,0.6263757089014612,0.931404938845059,28.0
17,56,0.15830046330783765,0.24337115954583277,0.16938282854697617,34.1
18,32,0.28408304465384715,0.8250626235153324,0.13403570824751043,0.7
19,29,0.5015209208515696,0.5239707687056114,0.9286833962477927,33.4
20,30,0.6120456326948555,0.1312488700405139,0.7041117200452031,42.3
21,31,0.317241981103739,0.8114933324622124,0.4158535221008013,30.9
22,31,0.15530696939951205,0.8438104703886721,0.5643299435276038,2.8
23,49,0.5408698093190288,0.3362191334709036,0.9821268191931335,4.9
24,19,0.7826058500013969,0.2333874955266586,0.5896993721323495,31.4
25,26,0.0570895915784051,0.8026188257251655,0.713431636209795,33.7
26,30,0.537350731536918,0.5684403991144289,0.3443785894590061,22.8
27,43,0.6904852783348622,0.4685112792999614,0.3069386664661714,23.9
28,54,0.6370648592452636,0.2757995043752468,0.558267054088166,23.5
29,50,0.7964489001914644,0.08239663537449826,0.07864818144594998,3.8
30,53,0.08633382333855011,0.11514711001362432,0.15535442082069162,36.0
31,33,0.09916665025773397,0.9879836063879301,0.3754157292284406,4.3
32,41,0.7723635474950683,0.49583316799870925,0.7766575847179505,48.9
33,25,0.18692025052288674,0.6395595039225362,0.019418763913769066,1.0
34,31,0.3141730541739244,0.7816133740867053,0.3425425722443176,11.4
35,41,0.48184468219286625,0.4189852849931337,0.27375967600642137,2.1
36,43,0.4892880400461611,0.9741736176284416,0.4028473581386067,49.4
37,36,0.7184586090622546,0.49426499910414645,0.27762586856446747,30.3
38,30,0.4369623620965657,0.19932576509441846,0.9337478247399951,32.2
39,40,0.3676692966859719,0.5897656722125008,0.39347722222636106,27.8
40,52,0.8489179260105097,0.5896727444791645,0.8897108492393153,15.2
41,42,0.6548363552696289,0.6102342237028516,0.051075881489674124,22.2
42,50,0.9805930806721614,0.8392337042451102,0.15781920421448214,19.6
43,27,0.4407298922697991,0.22256847437454297,0.7369789765582088,40.3
44,22,0.514701970510094,0.11291787946140408,0.9736389004401508,17.5
45,46,0.4802854058972458,0.42226997640240305,0.8635745647332475,32.7
46,58,0.5950186449372736,0.9926180690826208,0.22969836008958688,40.7
47,28,0.15166646319515498,0.23642077429678388,0.9058690343795959,33.1
48,41,0.7786370659734612,0.199580590848086,0.7198366708957915,36.8
49,34,0.8956802524315349,0.40733860207629435,0.94135651603305,5.6
50,45,0.5748934845816879,0.6844122615058505,0.3010282110606267,39.9
51,21,0.4774516791955077,0.4624043607746954,0.3094436062864271,2.5
52,22,0.10677099162612835,0.6715057608312314,0.6162895924815033,38.5
53,56,0.9796564481461946,0.25170178566196244,0.7783742713366064,23.8
54,49,0.4195100994365246,0.949412906851786,0.824796750030982,16.5
55,55,0.9943336356645673,0.8812254202497326,0.25234583016680234,10.1
56,38,0.286737963840499,0.14194528104153414,0.4601409710639157,29.6
57,40,0.35547880613904925,0.9155191787459439,0.2459142774317845,49.1
58,23,0.9948691339370846,0.8409942038047187,0.8396110592931554,6.8
59,23,0.9879141325314379,0.2835338478699919,0.9611483922895053,13.3
60,19,0.35335921804759773,0.22451788979414922,0.5045426277985209,4.5
61,46,0.6674045942749913,0.45820252327758504,0.07518573621996871,11.2
62,53,0.9767782737092889,0.0686264170452886,0.08033375521182062,8.4
63,53,0.34389869305621035,0.07961233705798387,0.5263305152401344,7.1
64,31,0.8396907983572584,0.3019399623865864,0.9595029725650834,46.7
65,51,0.09641999985553174,0.2983457707810815,0.580172269340577,38.5
66,53,0.8278337385743215,0.8811987234992311,0.9105474698935971,1.2
67,21,0.510860484463387,0.6627785522173926,0.2950961490330195,26.4
68,24,0.9851603985967069,0.9200392508818597,0.8351177219790675,2.6
69,48,0.47146114045355136,0.4751051163754839,0.6613556466471482,0.9
70,47,0.5847291049254766,0.8584546216158513,0.9899954492287357,23.3
71,35,0.0612763601695161,0.35416427130566597,0.5126087291227954,9.4
72,33,0.40782700965861673,0.5396795356766485,0.2889260168594283,29.5
73,42,0.9425517772376748,0.7124783106704334,0.13663882498932056,28.7
74,38,0.17506597172972327,0.5005483277454366,0.5110718945850397,16.6
